curso_Conf,legajo,desde,hasta
speak,43872351,2001-05-29,2008-04-24
happen,84836504,1974-12-29,1978-08-21
bank,6469945,2019-09-28,2019-12-05
middle,65883512,2024-06-12,2024-06-19
large,73028181,1979-01-12,2019-07-02
television,82059313,2001-04-21,2010-02-13
above,14945357,1973-12-16,2013-07-02
heart,29872727,1977-12-31,2015-10-03
attack,29947207,2008-11-07,2010-10-27
discussion,70586269,2018-08-01,2021-07-08
hot,45404094,1994-09-16,1996-12-28
thousand,72031054,1989-04-23,1989-10-08
fear,54594845,1984-08-04,2018-01-17
young,12659750,2004-04-13,2008-02-01
reach,72418071,2015-01-24,2020-11-30
environmental,84395806,1998-03-27,2015-03-20
relate,55490043,2000-12-20,2008-10-10
tough,37024298,2021-01-20,2024-06-09
trade,7091383,2004-05-03,2019-12-30
behind,50906335,1986-05-25,1993-12-03
source,75350941,2003-04-05,2020-09-09
nor,46817333,1995-02-15,2021-04-26
Mr,43827534,1999-06-11,2006-03-22
moment,40653279,2009-02-23,2020-12-18
oil,43377777,2018-04-21,2024-02-25
green,58107152,2000-07-25,2017-09-25
then,41467961,2003-02-13,2018-05-17
lawyer,34330112,2001-09-23,2012-02-29
including,84427926,1994-03-24,2011-04-02
front,45346376,2006-10-27,2013-02-10
dark,64166071,1971-10-08,1983-03-07
by,79043632,2002-07-28,2009-06-17
travel,85764035,1999-12-03,2013-05-06
arrive,1287816,2006-10-27,2012-06-21
myself,50916641,1991-08-12,1993-09-18
grow,19153355,1974-06-30,2004-12-13
run,73003683,1978-12-02,2004-10-23
fill,71163237,2020-11-06,2021-07-27
image,70997000,1980-01-19,1989-09-11
structure,97562697,2024-04-12,2024-06-12
describe,42048271,1984-10-29,1997-12-17
others,1729223,2013-01-29,2021-03-20
mention,27655362,2016-02-05,2017-10-29
the,86508960,2008-10-31,2016-09-20
so,13140442,2021-02-09,2021-04-30
baby,77923368,2004-07-12,2019-05-26
discuss,97240372,2005-03-30,2010-08-09
something,6015854,1993-09-21,2012-09-09
choose,48064968,2013-01-01,2021-04-27
build,16125669,2004-04-21,2008-05-02
couple,91434189,1999-04-06,2004-09-24
yourself,11032515,2023-05-21,2023-06-25
test,81021868,1983-11-04,2006-10-09
detail,59780376,1985-05-09,2019-02-25
lawyer,94008656,2000-12-16,2011-02-02
question,16271006,1976-06-22,1991-03-12
experience,82810587,1979-06-19,2004-11-05
short,98551127,1992-04-02,1992-04-30
reach,48853455,1983-01-01,2023-04-07
rule,30439748,2009-05-18,2018-07-27
ago,2233304,2005-04-20,2011-12-28
reduce,45081547,1991-06-07,2021-11-30
owner,86731969,2021-07-24,2024-02-04
perform,56458125,1982-06-13,2008-08-08
onto,51130440,2008-11-30,2008-12-11
of,52068411,1986-09-15,2019-07-16
image,76503314,1975-01-06,1986-03-09
it,986557,2010-09-24,2023-02-13
parent,96805752,2012-09-20,2020-11-29
option,58093640,1991-03-19,2018-05-05
my,33509032,2005-06-27,2016-12-19
skin,25516626,2007-10-26,2015-11-19
act,24754525,2010-12-09,2021-12-13
alone,81202734,1979-04-13,1991-07-29
serve,32577522,1998-12-13,2012-12-19
itself,98517643,2022-09-12,2023-05-06
many,55612041,1975-07-05,2004-11-27
moment,40069329,2001-03-08,2016-08-03
campaign,56982229,1987-09-07,2013-07-24
evidence,42252931,1992-11-23,2005-07-18
guess,44479496,2024-03-04,2024-06-28
long,20039872,1977-08-27,1993-03-09
born,61717155,1990-08-17,2015-05-10
before,46637835,2014-09-30,2024-01-23
check,44033140,1970-05-08,1988-09-03
second,24812886,1997-01-25,1997-07-02
every,74964724,2002-04-19,2003-09-02
identify,1676197,1975-06-21,1984-04-24
almost,46352330,1993-02-03,1995-12-14
support,12752425,2001-08-10,2008-02-18
buy,54652447,1997-05-18,2007-03-11
number,91320947,1975-06-02,2022-02-15
forward,41859197,1997-03-23,2001-03-01
have,70717764,2010-06-26,2023-10-12
often,28756285,1997-11-07,2013-01-07
less,16654497,1974-09-05,2009-08-01
next,78316381,2022-10-12,2024-06-30
white,99082900,1997-05-18,1998-05-23
summer,86225048,2022-07-28,2023-06-03
reveal,32590831,2009-08-29,2023-11-14
seem,74695715,1973-09-21,2011-04-10
religious,12732669,1991-12-13,1997-04-12
better,96669851,2016-10-11,2021-12-31
property,50004338,1971-09-03,2014-10-12
college,24948074,2014-05-10,2019-05-15
true,19736885,1982-03-31,2019-05-14
difficult,56633669,2003-01-16,2008-01-07
name,71976438,1996-01-03,2017-01-05
close,49379275,2005-07-19,2010-09-21
lot,98745288,2016-08-14,2019-05-19
establish,52313086,1985-03-19,1993-08-03
movie,31564148,1983-11-02,1992-05-16
activity,82337626,1987-11-27,2004-05-04
expert,96877364,2004-10-23,2007-05-18
resource,10460027,2024-07-02,2024-07-05
onto,51075072,1980-05-26,1991-07-08
serious,14677587,1990-01-04,2018-05-27
not,3802517,2016-01-15,2018-10-26
process,61510559,2011-03-03,2011-08-30
here,75982555,2016-01-28,2019-11-26
remember,79811798,1996-06-13,2022-03-10
police,96274064,1993-11-03,1994-05-24
affect,32507293,1997-11-07,2022-09-02
medical,79326437,2020-12-13,2023-05-08
occur,27569394,2016-10-30,2023-01-06
low,6582028,1994-10-02,2004-10-12
nature,48132923,1977-08-28,2008-03-18
certainly,65908561,1992-03-24,2012-09-19
war,22164877,1986-08-13,1998-09-05
apply,64339114,1981-05-16,1996-08-26
talk,93090222,2004-05-15,2004-06-26
meeting,66337108,1974-03-02,2008-07-31
west,41919082,1988-05-10,2004-02-03
now,53977767,1999-03-21,2004-04-24
young,61478963,2024-06-02,2024-06-10
heart,64188015,1984-03-11,2002-12-16
animal,5410858,1995-10-14,2015-04-01
kid,66410274,1990-09-12,2015-11-24
actually,46534562,2016-08-07,2017-06-28
camera,65735051,2019-06-06,2022-10-22
civil,52804342,2007-10-23,2014-09-21
move,65814435,1975-09-30,1982-01-11
air,7227645,1974-06-18,2023-04-23
crime,96779295,1974-09-29,1977-07-07
deep,54358793,1989-03-28,1994-11-29
base,91556066,2007-02-11,2014-08-06
billion,21074579,2007-07-16,2014-06-16
sort,46255266,2000-10-23,2007-07-23
enough,18970716,2007-06-15,2007-10-12
Democrat,42409695,2003-07-11,2024-03-24
play,44076477,2008-06-16,2016-04-11
where,89537247,1973-08-18,1999-11-14
central,89158275,1972-01-11,2001-04-28
arrive,71070528,2003-10-12,2013-09-23
become,4797269,2012-01-31,2019-10-11
arm,79940416,2023-04-03,2024-06-26
street,58308956,1971-01-01,2017-03-01
technology,14863800,1989-02-06,1991-06-11
college,95627288,1978-06-20,1988-09-17
tonight,51032827,1976-11-15,2002-01-12
gun,25687204,1988-03-10,2005-10-23
book,33761673,2018-04-22,2023-02-02
decide,22786485,1977-01-06,2006-01-25
control,15835704,2006-11-10,2021-03-01
police,79071987,2008-11-29,2024-06-27
show,79492137,1972-12-08,1987-03-26
dinner,2037029,1977-10-06,1993-07-15
history,16225504,1991-07-20,2017-01-07
prepare,58625920,2017-07-11,2020-10-05
year,72386670,2022-12-12,2023-05-26
draw,99915018,2009-03-14,2015-03-28
news,6084868,1987-07-30,2021-03-02
recognize,20077314,2017-04-01,2021-05-29
production,30899554,1991-06-15,2023-01-25
lose,79115658,1985-08-22,2020-07-27
trade,77651764,2015-06-01,2022-10-05
its,9368018,2019-02-15,2020-07-08
treatment,59704841,1983-11-22,2011-08-14
moment,70689047,2024-03-07,2024-03-20
film,88382086,2020-07-19,2022-04-25
radio,70918959,2019-05-30,2022-10-07
officer,76995969,1981-05-20,1996-08-11
alone,8334482,2002-10-23,2009-05-22
second,97094246,2013-03-22,2015-11-22
particularly,4484579,2017-09-30,2021-02-04
share,1189423,2014-03-29,2014-05-07
nature,67024531,1999-03-31,2013-07-06
bag,47107855,1998-03-26,2018-11-23
group,70889653,1996-11-20,2016-05-27
prepare,95559513,2007-01-23,2020-10-21
life,78904851,1979-07-26,1989-08-26
before,62030251,1999-05-27,2002-01-09
enter,46373185,2007-06-01,2008-01-17
lawyer,62409994,2023-06-23,2023-06-28
put,12207199,1998-02-26,2022-09-27
rest,46571869,1998-12-21,2003-08-30
travel,45955457,1975-04-21,1977-08-03
need,73062013,1970-04-01,2017-01-24
picture,96678313,2018-10-28,2023-12-25
something,85924765,2014-04-20,2018-10-29
suffer,66415584,1980-05-10,2017-09-13
think,76360036,1984-05-28,2008-05-03
trial,2842633,2016-12-19,2020-07-26
analysis,23020701,1976-07-21,1978-01-14
know,71351258,2011-10-13,2020-10-08
they,80865281,1975-01-14,1993-02-03
value,39469641,2019-01-05,2023-11-04
admit,61213624,2005-03-03,2021-01-06
guy,68730408,1993-06-04,1995-06-19
public,32152500,1986-01-17,1991-11-23
fear,75420217,2005-10-13,2021-10-08
low,74523310,1980-12-25,1994-08-31
any,78050761,1975-10-28,2022-11-19
simple,40260964,1985-03-17,2004-01-16
give,99855770,2013-05-09,2013-10-26
financial,73053721,2004-11-06,2017-05-20
stuff,75445048,1987-08-02,1991-01-07
risk,16457444,1977-04-02,2005-07-14
goal,55930258,1973-10-22,2006-10-22
soldier,16372041,2010-10-18,2023-02-11
man,62823613,2001-02-02,2006-08-11
American,27646064,1972-11-19,2014-06-03
yet,51397943,2009-04-19,2022-02-22
right,21047546,2013-07-10,2019-11-26
three,51832947,1972-03-05,1985-05-27
executive,40945291,2019-12-26,2020-02-02
now,22116981,2015-05-14,2021-06-01
American,2652628,1981-07-13,2024-01-02
tonight,77616988,1994-06-14,1996-06-18
star,41686454,1978-12-23,1992-07-08
government,93544639,1980-10-09,1985-06-14
rate,98521719,2015-08-06,2022-09-04
marriage,39081923,1998-01-26,2024-02-26
financial,90137498,1984-05-21,2015-12-27
yeah,59977361,2016-11-06,2024-06-09
parent,80595419,1995-01-24,1997-11-12
indeed,89531429,1994-07-24,2012-02-14
training,76202702,1995-06-14,2003-12-04
evidence,49984811,2023-06-01,2024-06-29
matter,76561419,1997-04-23,2006-07-02
production,64739890,2013-05-31,2014-03-25
face,24517977,1999-10-19,2006-04-25
health,68790824,2004-06-24,2008-11-16
big,80892671,2000-09-04,2013-08-26
college,90459378,1971-11-19,1976-04-25
every,71078706,1995-12-22,2019-06-11
thus,89667042,1978-10-16,2016-05-26
hold,90060126,2017-02-03,2020-09-16
out,58850069,2004-07-05,2022-10-04
heavy,34253993,1991-05-05,2011-09-22
agency,19435735,1994-05-20,2008-10-12
company,33551348,1976-06-29,2012-11-08
hard,61257955,1978-01-31,1988-02-08
research,56890953,1971-12-19,2018-06-05
provide,75986490,1974-03-30,1987-02-07
clearly,19782346,1980-07-31,1988-10-25
rise,54421799,2007-04-10,2010-12-10
weight,43724496,1976-07-07,1987-11-02
action,61439389,1976-04-08,1983-10-15
deal,96972399,1972-01-20,2012-10-05
cost,62030251,1988-08-07,2015-07-11
full,85902239,1971-11-20,1991-04-14
glass,12765837,1996-03-12,2012-11-05
the,21645837,1992-11-04,2011-12-01
not,32719099,1993-07-06,1998-05-11
yourself,22583388,1990-02-27,2006-08-06
generation,99323509,1996-03-24,2002-04-21
control,3063488,1984-01-31,2000-01-29
mention,45797577,1989-06-09,2000-06-21
son,33060198,1979-02-26,1987-12-02
specific,96524971,2004-01-25,2004-06-14
catch,95696603,1985-08-10,2007-05-10
join,49406352,1989-06-17,2002-10-10
indeed,4410102,1992-01-04,2007-04-19
experience,54147017,1981-09-08,2010-11-25
finally,46200435,2010-01-14,2021-07-07
body,11785826,1978-10-21,2011-10-04
car,57417767,2018-05-24,2019-05-28
cut,50890286,1989-04-17,2007-02-26
try,38996355,2012-10-02,2014-04-02
television,43511658,2018-11-29,2024-03-11
hot,40008954,2019-10-27,2020-07-24
when,28947572,1980-11-07,2013-02-17
industry,86213671,2018-05-16,2023-06-01
medical,51276511,2024-03-13,2024-04-08
bed,8783984,2011-03-18,2015-11-21
meet,79134338,1982-10-29,1983-09-20
computer,61611365,1972-03-23,1980-07-07
successful,17390900,2006-01-13,2016-07-16
huge,99540714,2016-08-06,2021-07-26
forward,63324154,2005-06-17,2016-09-28
goal,59482970,1971-10-04,2004-06-04
sea,28094707,1981-11-18,2000-01-22
food,10275349,1982-06-16,2015-05-11
look,84294908,1975-03-05,1975-10-30
him,5088347,2001-09-22,2018-08-18
new,38686872,2001-01-18,2017-09-26
room,5552450,1974-11-28,2017-03-17
fear,91931070,1991-05-02,1996-06-13
total,33917778,2018-06-13,2020-07-04
most,61192614,2017-08-21,2018-08-30
assume,26200665,1989-03-05,2014-03-13
program,47415849,2018-10-25,2019-04-18
she,38409230,2006-05-25,2009-05-24
however,60370820,1980-06-06,1981-06-11
some,93834677,2019-10-01,2020-04-29
science,37325083,2021-01-26,2023-06-19
provide,29693153,1980-09-09,2019-07-03
down,89009559,1983-12-12,2024-03-19
fill,41503765,1970-11-25,1977-10-22
somebody,22635780,2013-10-23,2020-10-13
fire,41713742,2009-06-19,2016-05-13
scientist,84705515,1993-04-30,2022-04-26
guess,23466811,1992-03-15,2023-09-18
give,28967643,2022-08-13,2023-05-09
woman,74160523,1971-10-03,2002-03-14
area,53975160,1984-01-20,2012-02-09
special,21813473,2023-07-05,2024-04-24
quite,778687,1984-05-15,2009-08-27
letter,68539121,2018-05-13,2021-03-19
physical,26407403,1991-09-19,2013-11-25
spend,70057750,1991-01-23,2014-05-18
suffer,71574469,1973-01-04,1993-06-12
fast,42537626,2001-09-28,2024-06-11
finally,13282956,2003-05-02,2004-05-10
keep,20039872,2019-02-06,2019-08-18
I,68625558,1973-02-13,2003-05-03
various,40577905,2001-11-22,2004-10-30
his,87302040,1971-03-11,1971-10-16
that,66422689,2019-12-21,2020-06-04
beautiful,51492615,2019-04-13,2020-04-25
join,61359721,2023-09-18,2024-05-24
whole,1205587,1972-05-12,1998-04-11
policy,442027,1991-04-12,2022-10-22
pass,2633506,2001-03-01,2005-06-14
street,72385958,2015-11-30,2020-01-30
voice,5911223,1990-06-16,2023-05-06
social,52614863,2024-01-20,2024-03-13
industry,33486273,2002-01-24,2002-09-28
table,49424847,2003-10-18,2009-02-20
live,95313484,2016-01-11,2023-07-07
several,39418133,2007-05-06,2015-01-03
society,45655390,1980-09-16,1990-12-06
toward,40304362,1970-12-24,2000-04-02
every,38181521,1994-01-19,2012-04-05
never,9596682,1983-09-11,2002-05-02
six,49395322,1977-01-31,1992-01-21
particularly,12916277,2019-06-20,2019-08-03
fund,31463161,1987-02-04,1998-02-13
full,77344662,1989-04-26,1999-02-16
onto,23276277,2004-03-16,2018-02-28
college,45229199,2012-06-20,2018-05-29
growth,75968188,2016-09-02,2017-06-13
break,3221750,1999-09-13,2010-09-18
role,72106212,1986-10-23,2011-08-26
mind,85824914,1987-10-25,1990-05-04
sport,4865176,2014-04-27,2018-04-15
better,90896244,2024-03-31,2024-04-29
radio,70595929,1992-10-24,1999-03-22
say,86225048,2015-02-14,2016-11-25
sense,79511707,2019-01-20,2021-03-19
there,85267821,2001-01-08,2017-04-25
bank,15103219,1979-08-16,2008-03-02
all,13555693,2024-02-10,2024-05-24
relationship,11101213,1981-05-08,2015-01-07
focus,88175719,2004-12-22,2019-05-28
cultural,84320782,2005-03-12,2018-01-17
visit,19955237,2011-03-17,2024-01-16
face,41177836,2022-11-09,2023-06-01
individual,4647598,1984-03-04,2015-01-03
there,47987761,1994-07-28,2018-05-02
call,451381,2016-09-19,2020-03-05
source,1169600,2020-04-08,2024-04-19
media,16929855,1990-03-13,1999-04-07
color,13986696,1997-04-30,2007-11-18
condition,36818634,2011-09-04,2021-10-04
difference,48013766,2018-01-05,2023-11-16
turn,11844477,1970-05-05,1983-05-29
southern,34393785,2017-09-03,2020-02-18
somebody,77855581,2003-12-24,2010-10-17
remain,80472546,1974-10-18,2021-05-24
suddenly,54563354,2018-06-14,2020-05-22
color,73226964,1989-07-04,2017-12-01
drug,76360697,2012-01-31,2015-03-24
better,91461621,2007-01-24,2012-04-21
up,9488459,1972-03-09,2016-06-20
drug,3497750,2008-06-12,2013-08-23
help,59393032,1970-09-02,2000-10-30
somebody,9596590,2020-12-10,2022-02-10
left,11493684,2001-03-25,2023-11-25
look,90830905,2013-10-11,2014-03-03
wonder,74416924,2022-12-17,2023-11-21
record,72946670,1980-04-03,2014-07-25
top,74737450,1999-12-23,2018-09-29
mother,44777283,1975-01-16,1997-02-23
arm,68253328,1972-09-12,1997-07-24
former,50018508,2015-03-04,2022-02-26
world,83726200,1974-11-07,2010-08-07
key,16693814,2006-02-25,2017-09-24
continue,37547261,1988-05-16,2017-10-26
free,24635717,1992-09-01,2024-01-13
language,85496241,1982-01-25,1989-02-17
old,9998705,1974-08-21,2009-03-29
without,1539299,1985-02-24,2018-05-07
anything,40030612,2015-12-05,2017-12-29
send,45518563,2012-08-25,2016-01-20
along,71815871,2019-09-26,2023-09-17
manager,60509173,1980-09-15,1998-04-12
make,60460902,2019-09-22,2024-04-01
though,77799334,2022-04-06,2024-03-27
establish,97313318,1970-04-20,2001-06-04
customer,83772779,1972-03-27,2011-09-14
rate,9923793,1981-05-02,2008-09-22
these,25814130,2004-04-12,2015-12-15
of,47446802,1979-02-08,1998-03-29
foreign,29570580,1999-05-31,2005-04-12
can,74113023,1978-12-13,2000-05-10
gas,65901406,2013-03-12,2015-04-13
assume,18843844,2020-09-01,2023-10-23
language,55304030,2018-01-22,2022-02-21
manager,48178826,2003-01-21,2014-04-27
program,77603621,1976-07-17,1977-12-29
make,30682106,2001-02-02,2006-12-02
computer,23998577,2005-01-05,2017-09-19
land,93874727,1976-04-19,2011-09-13
shake,68488307,2003-05-11,2011-07-09
visit,98767113,2013-04-07,2015-05-14
bit,53798014,1982-02-17,1995-09-29
condition,6232917,1983-05-22,2020-09-12
news,42979076,1980-04-03,1984-12-24
carry,96854404,1970-07-20,1997-02-25
save,72952832,2022-04-25,2023-11-27
chance,13467237,1976-05-01,2022-07-09
interview,85627270,2004-01-16,2006-09-03
quality,45031907,2016-06-21,2021-10-29
carry,4720620,1995-06-10,2005-09-19
there,58383338,1993-01-19,1999-03-25
ahead,42563902,1971-12-21,1994-04-17
enjoy,51373602,2001-05-07,2011-12-05
south,20775938,2000-05-05,2019-01-10
type,59609374,1996-06-16,2009-10-25
seek,16148320,1993-12-13,2018-04-02
kind,36010171,1977-04-13,2012-12-12
either,61448380,1973-11-27,2024-01-19
place,21075936,2000-02-15,2005-09-12
product,32286621,1979-06-28,2000-03-22
anyone,26591614,2002-09-16,2012-07-07
hold,4447490,1975-10-30,2003-01-19
wind,45423265,2022-05-25,2022-05-30
commercial,77328574,2007-04-25,2015-01-22
ball,68486851,1989-03-23,2015-06-13
know,93775305,2021-10-12,2024-02-20
return,60935613,1975-08-08,2006-12-31
finish,52337960,1999-03-09,2002-01-12
authority,690224,2002-09-16,2003-11-13
its,76992141,2007-04-02,2016-09-24
food,72896199,1996-03-05,2007-05-03
build,56806056,1996-06-04,2022-06-15
west,63411019,1990-01-20,1998-03-22
model,75977767,2012-03-09,2016-05-03
just,13099055,1982-08-29,1999-10-06
event,87362196,1990-10-20,1992-05-07
beat,45452263,1971-10-17,1996-09-12
ever,18936663,2017-07-17,2019-12-28
send,58663549,2020-08-09,2024-02-08
cold,73143361,1999-02-15,2019-01-20
success,716210,1973-01-17,2010-12-29
old,28320998,1979-07-31,2022-11-02
eat,26523452,2000-11-26,2009-03-13
prove,30815046,1978-10-06,2003-08-13
dog,26573053,1989-09-20,2000-12-15
art,58930981,1998-01-07,2010-01-03
sometimes,92787657,1996-10-12,2007-11-22
church,48601310,2013-12-10,2024-01-12
clearly,1356910,2013-11-04,2023-01-24
notice,81207513,2008-08-02,2009-02-19
son,17135026,2004-08-16,2019-03-04
bar,25870761,2018-05-02,2020-02-05
in,77297563,1979-12-27,2002-10-16
bad,26068337,1999-04-12,2001-03-14
change,79476398,1978-09-04,1990-02-22
hold,64307795,2003-02-07,2022-12-13
down,77717883,1981-10-11,1996-10-18
occur,29078925,2004-07-12,2021-01-13
wish,90123051,1979-04-19,2011-10-24
why,9802018,2022-05-25,2024-04-21
positive,57285792,1983-01-19,2023-09-16
per,95487068,1993-11-13,2015-11-04
quite,10833958,1975-05-27,2008-03-18
vote,5096949,1996-06-22,2021-06-07
citizen,43173213,1977-06-14,2020-12-10
business,53008237,2014-09-07,2016-04-18
feeling,68507536,2003-05-14,2020-02-26
word,9635981,1985-08-11,2000-10-24
effort,60007102,2021-01-03,2022-11-14
director,2816977,2013-06-15,2020-08-05
marriage,38029720,2021-11-02,2022-10-27
health,93834677,1990-01-01,2014-10-13
now,66146691,2003-02-03,2007-12-11
letter,89907263,1974-02-14,2022-05-04
I,34959455,1995-01-31,2005-09-23
rate,6431653,1998-03-17,2001-03-26
save,33282648,1976-09-21,1979-07-27
over,92133591,2003-04-21,2018-10-26
item,45328769,2012-08-23,2021-07-08
support,96064541,2007-12-23,2023-12-27
will,3212772,2002-01-04,2014-06-05
range,1856993,1978-12-02,2019-12-28
these,12765613,1971-12-20,2022-06-12
those,74153340,2013-04-22,2017-04-13
husband,93457200,2017-05-24,2023-02-08
morning,12893681,2002-07-11,2021-02-02
amount,73143230,1974-01-29,1980-08-28
girl,41358221,1997-01-08,1999-05-13
me,9468267,2011-05-25,2022-01-16
morning,13272584,2014-09-02,2022-11-30
prove,77835970,1982-07-22,2016-12-13
view,49973609,1976-01-28,1986-01-07
his,16548798,1979-03-17,1992-06-21
trade,51527938,2018-07-27,2023-01-10
argue,46968690,2004-05-12,2015-04-09
start,35808282,1974-11-29,2018-03-20
necessary,32441981,1981-10-06,1990-12-11
company,38297740,2009-07-02,2012-08-07
feel,98640651,1986-09-08,1990-06-21
quickly,29399,2007-01-07,2017-09-29
owner,71119695,1990-03-26,2006-08-23
culture,56866307,1997-07-12,2018-06-03
top,18156878,1979-11-19,2013-12-06
good,18349537,2019-10-08,2024-06-10
third,47348960,2023-10-30,2024-04-28
most,32545033,2004-05-06,2018-12-27
woman,43657259,1972-08-21,1973-08-13
born,46871125,1995-06-01,2004-02-24
lose,31140680,2022-07-29,2024-03-14
before,86358013,2002-04-07,2014-08-02
upon,26020437,1982-12-03,2001-10-01
us,75478348,1975-12-05,2000-03-18
maintain,81226787,1970-10-21,1992-04-14
doctor,20758110,1994-09-26,2001-07-03
bring,37649919,1982-04-25,2008-03-08
interesting,92970401,2018-03-14,2021-07-22
down,3783191,2011-03-06,2023-05-24
wrong,64957917,2001-02-20,2017-04-07
green,19661330,1974-11-03,2017-02-12
new,34627260,1973-01-06,2010-09-17
cultural,56069478,2015-12-28,2022-02-13
kitchen,31953248,1971-05-07,1976-12-16
watch,690224,2018-08-26,2021-10-10
table,50335000,2013-03-12,2017-10-07
feeling,86492591,2022-06-14,2024-04-17
expert,93324892,1988-04-30,2015-02-06
apply,62693178,1997-05-12,2020-04-25
while,95309553,1994-07-25,2002-10-24
sister,39649555,2012-05-29,2017-11-06
offer,77872802,2004-11-24,2020-01-20
staff,6480150,2008-07-26,2012-01-16
five,86320857,2023-03-10,2023-12-06
wall,39355989,1995-08-03,2022-03-26
father,5971782,1996-09-16,2009-01-14
cup,48764073,1996-07-18,2006-12-20
far,37651830,1971-01-24,2000-05-27
save,45173366,2015-03-12,2021-10-03
hold,91362276,2008-04-16,2023-07-01
other,11570210,1975-06-21,2007-11-18
candidate,38007088,1986-12-18,1992-05-17
building,42329307,1988-02-05,1990-06-06
ready,38757822,2004-05-16,2012-07-06
for,74153271,2020-10-04,2023-06-05
able,5980017,1989-12-08,2016-07-27
foreign,97778262,2001-05-31,2018-12-11
pick,16429266,1994-03-19,2017-06-26
music,79243631,1979-01-11,2021-11-23
lawyer,63379018,2015-04-09,2021-06-12
over,72841517,2023-01-03,2023-04-09
subject,12572633,2016-09-28,2020-07-06
office,86338144,2019-07-06,2021-01-19
life,46246669,2009-08-19,2020-07-03
miss,25163891,1997-02-01,2024-05-30
kind,57336930,2018-10-19,2020-04-14
career,89307095,1990-01-17,2005-01-01
public,11585884,1973-10-19,1989-05-29
wall,37490504,2008-06-19,2018-10-17
voice,74314796,2010-01-24,2017-06-15
resource,82686306,2020-11-23,2024-06-09
likely,79856381,1994-08-01,2013-12-06
stop,96331792,2003-12-05,2019-05-08
face,64234417,1971-05-02,2015-02-26
chance,55133686,2015-01-26,2016-12-24
offer,39231020,1988-12-11,2016-05-30
team,44813276,2022-04-21,2022-11-27
give,99280290,1973-07-03,2000-05-14
necessary,27758852,1976-08-29,2023-12-02
analysis,16615991,2006-02-01,2009-01-13
understand,1247868,1991-03-28,1993-02-15
somebody,97100275,2003-04-08,2021-08-30
trouble,22586448,1994-03-31,2008-11-21
lose,89935390,1997-05-03,1997-11-12
away,18219406,2009-04-29,2023-07-14
want,77313354,2009-11-01,2020-05-02
hit,8195420,1975-05-23,2000-01-20
daughter,18629020,2022-07-22,2024-03-11
believe,27084984,1974-07-14,1981-07-07
education,63616368,2007-10-10,2014-02-14
debate,63980545,2004-04-16,2018-11-10
note,57849600,1977-06-05,2002-04-01
look,99945656,2005-10-22,2010-07-01
may,16742813,2018-05-01,2022-06-28
among,91301682,1971-12-17,2015-05-17
rich,44589423,2022-01-03,2023-09-30
tend,14705056,2020-07-13,2021-05-30
behind,6855472,2023-04-11,2023-10-11
hour,51936037,1993-12-06,2011-10-25
oil,23390184,1975-12-25,2004-10-18
eat,50266463,2017-10-26,2024-01-25
method,44708098,1981-03-10,2002-01-08
sing,27902732,2000-06-19,2018-03-10
western,65630333,2017-01-03,2017-08-30
action,60829346,2023-07-26,2024-04-06
again,84287902,2007-09-26,2017-10-01
without,54317756,2003-01-09,2020-04-04
offer,59753861,2013-02-09,2024-06-24
high,16137650,2010-05-29,2022-02-25
sure,64153686,1993-04-10,2020-01-02
a,73369831,1973-04-23,2017-10-18
entire,42492641,2013-02-07,2019-03-03
remember,54358793,1970-09-05,2012-12-19
position,61785076,1989-06-16,1997-02-05
spring,50480999,1970-04-25,1985-03-14
teach,47081759,2023-08-20,2023-08-27
project,84835610,1987-05-14,2013-09-13
north,96584863,1989-06-12,2007-01-11
suggest,31009334,1995-02-01,2023-04-16
issue,57807180,1974-02-02,1990-01-05
through,80677331,2019-06-24,2022-11-11
instead,43135871,2009-10-07,2023-06-27
ask,17177675,1978-04-27,2018-08-19
really,34342746,1984-07-09,2000-01-21
already,27827495,1984-02-12,2020-08-21
science,11411226,1972-10-10,1976-05-20
court,12360371,1997-05-30,2003-03-25
avoid,57377804,1976-02-04,1976-07-19
sometimes,63019295,2008-07-22,2018-10-24
site,7635546,1976-02-19,2001-07-19
teach,73364511,1975-04-26,2008-07-13
election,32413994,2005-04-20,2023-05-09
mean,14034131,1974-11-03,1982-11-28
art,940281,2016-04-10,2017-01-30
even,19262294,1973-12-29,1994-01-26
field,78488425,2017-01-03,2022-02-21
address,2357102,1988-03-13,1991-10-17
water,53002297,1972-09-20,2024-02-09
expect,70282909,2005-10-14,2019-09-04
improve,1888376,1988-02-28,2006-07-14
middle,45352201,1986-07-18,2022-04-07
evening,32242157,2024-04-12,2024-07-03
can,68354863,1983-10-02,1996-02-20
election,27201444,2014-08-22,2020-06-01
others,63458660,1996-08-19,2021-10-26
skin,43079600,2005-05-29,2008-04-06
simple,49458119,2015-07-03,2016-06-11
industry,47309114,1995-10-26,2009-08-26
along,69814853,1990-08-24,2020-03-07
white,37964625,1983-09-25,2015-07-22
article,76672690,2013-02-04,2014-12-29
rather,59062946,1983-01-23,1998-07-06
employee,14409963,2013-06-11,2016-03-21
leader,67011554,1988-10-21,2016-09-01
thought,76776311,2014-07-24,2023-09-20
bring,24914714,1973-12-12,2021-11-06
ball,69349732,1999-10-20,2000-10-11
book,13386088,1994-11-05,2016-05-07
possible,51144274,1993-04-08,1997-11-21
about,44140964,1983-11-08,1999-01-13
second,67809668,1971-01-17,1977-12-25
black,92165890,2000-08-27,2018-05-18
